rating,cost,name,description,address,phone_number,google_maps_url,type,id
4.2,0,Taniti Paradise Beach,Enjoy the pristine white sandy beaches of Taniti. Perfect for sunbathing and water activities.,Taniti Paradise Beach%%% Taniti%%% French Polynesia,+689 12345678,https://maps.google.com/maps?output=embed&q=-17.5711%%%-149.6075,beaches,1
3.8,1,Coral Breeze Restaurant,Savor delicious local and international cuisine with a stunning view of the Pacific Ocean.,Coral Breeze Restaurant%%% Papeete%%% Taniti%%% French Polynesia,+689 23456789,https://maps.google.com/maps?output=embed&q=-17.5367%%%-149.5694,restaurants,2
4.5,0,Majestic Peaks Hike,Embark on an exhilarating hike through the majestic peaks of Taniti%%% surrounded by lush greenery.,Majestic Peaks Hike%%% Taniti%%% French Polynesia,+689 34567890,https://maps.google.com/maps?output=embed&q=-17.6333%%%-149.5333,hiking,3
3.9,2,Tropical Rentals,Rent a variety of cars%%% water sports equipment, and explore the crystal-clear waters of Taniti.,Tropical Rentals%%% Punaauia%%% Taniti%%% French Polynesia,+689 45678901,https://maps.google.com/maps?output=embed&q=-17.6272%%%-149.6114,rentals,4
4,2,Marketplace Haven,Indulge in a shopping spree at Marketplace Haven%%% offering a wide range of local crafts and souvenirs.,Marketplace Haven%%% Faaa%%% Taniti%%% French Polynesia,+689 56789012,https://maps.google.com/maps?output=embed&q=-17.5546%%%-149.5998,shopping,5
4.3,3,Cultural Harmony Event Center,Immerse yourself in Tanitian culture with vibrant events and performances at Cultural Harmony Event Center.,Cultural Harmony Event Center%%% Papeete%%% Taniti%%% French Polynesia,+689 67890123,https://maps.google.com/maps?output=embed&q=-17.5321%%%-149.5665,culture,6
4.7,2,Lagoon View Hotel,Experience luxury and comfort at Lagoon View Hotel%%% overlooking the stunning Tanitian lagoon.,Lagoon View Hotel%%% Punaauia%%% Taniti%%% French Polynesia,+689 78901234,https://maps.google.com/maps?output=embed&q=-17.5866%%%-149.6048,hotels,7
4.4,3,Nature Oasis Reserve,Discover the untouched beauty of Taniti at Nature Oasis Reserve%%% a haven for nature lovers.,Nature Oasis Reserve%%% Faaa%%% Taniti%%% French Polynesia,+689 89012345,https://maps.google.com/maps?output=embed&q=-17.5444%%%-149.5823,nature,8
4,1,Sapphire Shores Beach,Discover the beauty of Sapphire Shores Beach%%% known for its crystal-clear waters and vibrant marine life.,Sapphire Shores Beach%%% Paea%%% Taniti%%% French Polynesia,+689 87654321,https://maps.google.com/maps?output=embed&q=-17.7163%%%-149.3567,beaches,9
3.9,1,Mango Delight Restaurant,Experience the flavors of Taniti at Mango Delight Restaurant%%% offering a menu inspired by fresh local ingredients.,Mango Delight Restaurant%%% Mahina%%% Taniti%%% French Polynesia,+689 76543210,https://maps.google.com/maps?output=embed&q=-17.4902%%%-149.4779,restaurants,10
4.5,3,Volcano Trek Adventure,Embark on an adrenaline-pumping trek to explore the volcanic landscapes of Taniti on the Volcano Trek Adventure.,Volcano Trek Adventure%%% Papeete%%% Taniti%%% French Polynesia,+689 65432109,https://maps.google.com/maps?output=embed&q=-17.5431%%%-149.5753,hiking,11
3.8,2,Aqua Sports Rentals,Rent top-quality water sports gear at Aqua Sports Rentals and enjoy an active day exploring Taniti's coast.,Aqua Sports Rentals%%% Punaauia%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.5850%%%-149.6036,rentals,12
4.2,2,Tropical Bazaar Shopping Center,Shop for unique treasures at the Tropical Bazaar Shopping Center%%% a haven for art%%% crafts%%% and souvenirs.,Tropical Bazaar Shopping Center%%% Pirae%%% Taniti%%% French Polynesia,+689 43210987,https://maps.google.com/maps?output=embed&q=-17.5258%%%-149.5678,shopping,13
4.3,3,Island Rhythms Cultural Show,Immerse yourself in the vibrant Island Rhythms Cultural Show%%% featuring traditional music%%% dance%%% and storytelling.,Island Rhythms Cultural Show%%% Arue%%% Taniti%%% French Polynesia,+689 32109876,https://maps.google.com/maps?output=embed&q=-17.5327%%%-149.5167,culture,14
4.6,2,Coral Reef Resort,Experience luxury surrounded by the coral reefs at Coral Reef Resort%%% offering stunning views and world-class amenities.,Coral Reef Resort%%% Punaauia%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.5922%%%-149.6094,hotels,15
4.4,3,Hidden Haven Nature Reserve,Explore the serene beauty of Hidden Haven Nature Reserve%%% a peaceful retreat in the heart of Taniti.,Hidden Haven Nature Reserve%%% Papeari%%% Taniti%%% French Polynesia,+689 10987654,https://maps.google.com/maps?output=embed&q=-17.7640%%%-149.4542,nature,16
4.1,0,Crystal Cove Beach,Escape to the pristine shores of Crystal Cove Beach%%% where turquoise waters meet white sandy beaches.,Crystal Cove Beach%%% Punaauia%%% Taniti%%% French Polynesia,+689 98765432,https://maps.google.com/maps?output=embed&q=-17.6142%%%-149.6119,beaches,17
3.6,1,Tiki Terrace Restaurant,Indulge in Tanitian delicacies at Tiki Terrace Restaurant%%% surrounded by lush tropical gardens.,Tiki Terrace Restaurant%%% Mahina%%% Taniti%%% French Polynesia,+689 87654321,https://maps.google.com/maps?output=embed&q=-17.5189%%%-149.4901,restaurants,18
4.3,0,Cloud Forest Hike,Embark on a mystical journey through the Cloud Forest Hike%%% surrounded by misty landscapes and diverse flora.,Cloud Forest Hike%%% Papeete%%% Taniti%%% French Polynesia,+689 76543210,https://maps.google.com/maps?output=embed&q=-17.5454%%%-149.5732,hiking,19
3.9,2,Azure Adventures Rentals,Rent kayaks%%% paddleboards%%% and more at Azure Adventures Rentals for an exciting day on Taniti's azure waters.,Azure Adventures Rentals%%% Paea%%% Taniti%%% French Polynesia,+689 65432109,https://maps.google.com/maps?output=embed&q=-17.7401%%%-149.3064,rentals,20
4.5,2,Mango Market,Explore the vibrant stalls of Mango Market%%% offering fresh produce%%% local crafts%%% and Tanitian specialties.,Mango Market%%% Pirae%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.5267%%%-149.5729,shopping,21
4.2,3,Tanitian Harmony Festival,Celebrate the richness of Tanitian culture at the Tanitian Harmony Festival%%% featuring music%%% dance%%% and traditional art.,Tanitian Harmony Festival%%% Arue%%% Taniti%%% French Polynesia,+689 43210987,https://maps.google.com/maps?output=embed&q=-17.5346%%%-149.5108,culture,22
4.7,2,Turquoise Tides Resort,Experience opulence at Turquoise Tides Resort%%% nestled along the pristine turquoise waters of Taniti.,Turquoise Tides Resort%%% Punaauia%%% Taniti%%% French Polynesia,+689 32109876,https://maps.google.com/maps?output=embed&q=-17.5899%%%-149.6125,hotels,23
4.4,3,Floral Oasis Nature Reserve,Immerse yourself in the beauty of Floral Oasis Nature Reserve%%% a haven for rare flora and fauna.,Floral Oasis Nature Reserve%%% Papara%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.7317%%%-149.5463,nature,24
4.2,0,Golden Sands Beach,Enjoy the golden sands and clear waters of Golden Sands Beach%%% perfect for a relaxing day in Taniti.,Golden Sands Beach%%% Paea%%% Taniti%%% French Polynesia,+689 87654321,https://maps.google.com/maps?output=embed&q=-17.7435%%%-149.3087,beaches,25
3.7,1,Culinary Cove Restaurant,Delight your taste buds at Culinary Cove Restaurant%%% offering a diverse menu inspired by local flavors.,Culinary Cove Restaurant%%% Mahina%%% Taniti%%% French Polynesia,+689 76543210,https://maps.google.com/maps?output=embed&q=-17.5103%%%-149.4825,restaurants,26
4.6,0,Mountain Majesty Hike,Embark on an awe-inspiring trek through the Mountain Majesty Hike%%% surrounded by majestic peaks and panoramic views.,Mountain Majesty Hike%%% Papeete%%% Taniti%%% French Polynesia,+689 65432109,https://maps.google.com/maps?output=embed&q=-17.5398%%%-149.5741,hiking,27
3.8,2,Aqua Adventures Rentals,Rent a variety of water equipment at Aqua Adventures Rentals and explore the vibrant marine life of Taniti.,Aqua Adventures Rentals%%% Paea%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.7258%%%-149.3153,rentals,28
4.1,2,Tropical Treasures Market,Discover hidden gems at Tropical Treasures Market%%% featuring local crafts%%% souvenirs%%% and unique finds.,Tropical Treasures Market%%% Pirae%%% Taniti%%% French Polynesia,+689 43210987,https://maps.google.com/maps?output=embed&q=-17.5187%%%-149.5723,shopping,29
4.3,3,Cultural Fusion Festival,Immerse yourself in the diverse cultures of Taniti at the Cultural Fusion Festival%%% showcasing music%%% dance%%% and art.,Cultural Fusion Festival%%% Arue%%% Taniti%%% French Polynesia,+689 32109876,https://maps.google.com/maps?output=embed&q=-17.5374%%%-149.5162,culture,30
4.8,2,Sunset Serenity Resort,Experience serenity at Sunset Serenity Resort%%% where each room offers breathtaking views of the Tanitian sunset.,Sunset Serenity Resort%%% Punaauia%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.5790%%%-149.6153,hotels,31
4.4,3,Hidden Gem Nature Reserve,Explore the untouched beauty of Hidden Gem Nature Reserve%%% a tranquil oasis away from the hustle and bustle.,Hidden Gem Nature Reserve%%% Papara%%% Taniti%%% French Polynesia,+689 10987654,https://maps.google.com/maps?output=embed&q=-17.7478%%%-149.4729,nature,32
3.9,0,Sunrise Serenade Beach,Experience the magic of sunrise at Sunrise Serenade Beach%%% a peaceful haven to start your day in Taniti.,Sunrise Serenade Beach%%% Punaauia%%% Taniti%%% French Polynesia,+689 98765432,https://maps.google.com/maps?output=embed&q=-17.5891%%%-149.6245,beaches,33
4,1,Harborview Grill,Indulge in a culinary delight at Harborview Grill%%% offering panoramic views of the Tanitian harbor.,Harborview Grill%%% Mahina%%% Taniti%%% French Polynesia,+689 87654321,https://maps.google.com/maps?output=embed&q=-17.5132%%%-149.4978,restaurants,34
4.7,3,Enchanted Forest Expedition,Embark on a mystical journey through the Enchanted Forest Expedition%%% surrounded by ancient trees and magical landscapes.,Enchanted Forest Expedition%%% Papeete%%% Taniti%%% French Polynesia,+689 76543210,https://maps.google.com/maps?output=embed&q=-17.5314%%%-149.5707,hiking,35
3.6,2,Aqua Thrills Rentals,Feel the thrill with Aqua Thrills Rentals%%% offering jet skis%%% parasailing%%% and other exciting water activities in Taniti.,Aqua Thrills Rentals%%% Paea%%% Taniti%%% French Polynesia,+689 65432109,https://maps.google.com/maps?output=embed&q=-17.7316%%%-149.3079,rentals,36
4.5,2,Exotic Market Bazaar,Explore the Exotic Market Bazaar%%% a lively market with a diverse array of exotic fruits%%% spices%%% and handmade crafts.,Exotic Market Bazaar%%% Pirae%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.5231%%%-149.5721,shopping,37
4.2,3,Cultural Mosaic Festival,Immerse yourself in the vibrant Cultural Mosaic Festival%%% celebrating the rich tapestry of Tanitian traditions.,Cultural Mosaic Festival%%% Arue%%% Taniti%%% French Polynesia,+689 43210987,https://maps.google.com/maps?output=embed&q=-17.5362%%%-149.5143,culture,38
4.9,2,Luxury Lagoon Retreat,Indulge in luxury at the Luxury Lagoon Retreat%%% featuring overwater villas and a private lagoon.,Luxury Lagoon Retreat%%% Punaauia%%% Taniti%%% French Polynesia,+689 32109876,https://maps.google.com/maps?output=embed&q=-17.5758%%%-149.6101,hotels,39
4.3,3,Wildlife Wonderland Reserve,Discover the wonders of Tanitian wildlife at the Wildlife Wonderland Reserve%%% a sanctuary for rare species.,Wildlife Wonderland Reserve%%% Papara%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.7585%%%-149.4852,nature,40
5,2,Exotic Market Bazaar,Explore the Exotic Market Bazaar%%% a lively market with a diverse array of exotic fruits%%% spices%%% and handmade crafts.,Exotic Market Bazaar%%% Pirae%%% Taniti%%% French Polynesia,+689 54321098,https://maps.google.com/maps?output=embed&q=-17.5231%%%-149.5721,popular,41
4.9,3,Cultural Mosaic Festival,Immerse yourself in the vibrant Cultural Mosaic Festival%%% celebrating the rich tapestry of Tanitian traditions.,Cultural Mosaic Festival%%% Arue%%% Taniti%%% French Polynesia,+689 43210987,https://maps.google.com/maps?output=embed&q=-17.5362%%%-149.5143,popular,42
4.9,2,Luxury Lagoon Retreat,Indulge in luxury at the Luxury Lagoon Retreat%%% featuring overwater villas and a private lagoon.,Luxury Lagoon Retreat%%% Punaauia%%% Taniti%%% French Polynesia,+689 32109876,https://maps.google.com/maps?output=embed&q=-17.5758%%%-149.6101,popular,43
4.9,3,Wildlife Wonderland Reserve,Discover the wonders of Tanitian wildlife at the Wildlife Wonderland Reserve%%% a sanctuary for rare species.,Wildlife Wonderland Reserve%%% Papara%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.7585%%%-149.4852,popular,44
4.9,3,Wildlife Wonderland Reserve,Discover the wonders of Tanitian wildlife at the Wildlife Wonderland Reserve%%% a sanctuary for rare species.,Wildlife Wonderland Reserve%%% Papara%%% Taniti%%% French Polynesia,+689 21098765,https://maps.google.com/maps?output=embed&q=-17.7585%%%-149.4852,favorites,45
